ID,trial_index,condition_label,trial_type_label,visual_stimulus,tactile_stimulus,combo,felt_position,z_RT,error,visual_error,tactile_error
2,58,hand,SP,1,1,1-1,1,-0.357,0,,
2,59,hand,DP,2,4,2-4,3,-1.165,1,0,1
2,60,hand,SP,2,2,2-2,2,-0.505,0,,
2,61,hand,OV,0,4,0-4,4,-0.561,0,,
2,62,hand,OV,0,1,0-1,1,-0.673,0,,
2,63,hand,SP,4,4,4-4,4,0.037,0,,
2,64,hand,DP,1,3,1-3,3,-0.621,0,0,0
3,1,cube,OV,0,2,0-2,2,1.903,0,,
3,2,cube,SP,2,2,2-2,2,-0.257,0,,
3,3,cube,OV,0,2,0-2,4,-0.07,1,,
3,4,cube,SP,2,2,2-2,2,0.086,0,,
3,5,cube,OV,0,3,0-3,3,-0.604,0,,
3,6,cube,OV,0,3,0-3,3,-0.295,0,,
3,7,cube,SP,2,2,2-2,2,-0.413,0,,
3,8,cube,SP,4,4,4-4,4,-0.662,0,,
3,9,cube,OV,0,4,0-4,4,-0.978,0,,
3,10,cube,DP,2,3,2-3,3,-0.986,0,0,0
3,11,cube,OV,0,3,0-3,3,-0.465,0,,
3,12,cube,DP,4,2,4-2,2,-0.771,0,0,0
3,13,cube,OT,4,0,4-0,0,,0,,
3,14,cube,DP,1,4,1-4,4,-0.02,0,0,0
3,15,cube,SP,3,3,3-3,3,-0.507,0,,
3,16,cube,OT,1,0,1-0,0,,0,,
3,17,cube,DP,2,4,2-4,4,-0.08,0,0,0
3,18,cube,SP,1,1,1-1,1,-0.308,0,,
3,19,cube,OT,4,0,4-0,0,,0,,
3,20,cube,DP,1,3,1-3,3,0.311,0,0,0
3,21,cube,OV,0,3,0-3,3,0.765,0,,
3,22,cube,OV,0,4,0-4,4,0.66,0,,
3,23,cube,OT,2,0,2-0,2,,1,,
3,24,cube,SP,1,1,1-1,1,4.771,0,,
3,25,cube,OV,0,4,0-4,4,0.159,0,,
3,26,cube,OT,2,0,2-0,0,,0,,
3,27,cube,DP,1,2,1-2,4,-0.649,1,0,1
3,28,cube,SP,3,3,3-3,3,-0.528,0,,
3,29,cube,SP,3,3,3-3,3,-0.6,0,,
3,30,cube,OT,4,0,4-0,0,,0,,
3,31,cube,OT,1,0,1-0,0,,0,,
3,32,cube,DP,2,1,2-1,1,-0.311,0,0,0
3,33,cube,OV,0,2,0-2,2,0.31,0,,
3,34,cube,DP,1,2,1-2,2,-0.355,0,0,0
3,35,cube,OT,3,0,3-0,0,,0,,
3,36,cube,DP,1,4,1-4,4,-0.471,0,0,0
3,37,cube,OV,0,1,0-1,1,-0.071,0,,
3,38,cube,OT,3,0,3-0,0,,0,,
3,39,cube,DP,4,3,4-3,3,1.235,0,0,0
3,40,cube,OT,2,0,2-0,0,,0,,
3,41,cube,DP,1,3,1-3,3,0.327,0,0,0
3,42,cube,DP,3,4,3-4,4,-0.187,0,0,0
3,43,cube,SP,1,1,1-1,1,-0.021,0,,
3,44,cube,OT,4,0,4-0,0,,0,,
3,45,cube,OT,2,0,2-0,0,,0,,
3,46,cube,OV,0,1,0-1,1,0.406,0,,
3,47,cube,OV,0,4,0-4,4,-0.59,0,,
3,48,cube,SP,4,4,4-4,4,-0.189,0,,
3,49,cube,DP,4,1,4-1,1,-0.253,0,0,0
3,50,cube,DP,2,1,2-1,1,-0.818,0,0,0
3,51,cube,OV,0,1,0-1,1,-0.138,0,,
