participant,condition,stimulation_type,ruler_position,distance,answer
4,hand,SP,0.15,0.2,30.0
4,hand,DP,0.27,0.07999998,15.0
4,hand,DP,0.24,0.11,19.0
4,hand,DP,0.18,0.17,27.0
4,hand,DP,0.3,0.04999998,14.0
4,hand,DP,0.12,0.23,34.0
4,hand,DP,0.24,0.11,17.0
4,hand,DP,0.3,0.04999998,11.0
4,hand,DP,0.15,0.2,27.0
4,hand,DP,0.21,0.14,24.0
4,hand,DP,0.33,0.01999998,13.0
5,cube,OV,0.3,0.04999998,17.0
5,cube,OV,0.24,0.11,23.0
5,cube,OV,0.12,0.23,35.0
5,cube,OV,0.18,0.17,30.0
5,cube,OV,0.15,0.2,32.0
5,cube,OV,0.24,0.11,22.0
5,cube,OV,0.15,0.2,32.0
5,cube,OV,0.33,0.01999998,13.0
5,cube,OV,0.3,0.04999998,16.0
5,cube,OV,0.12,0.23,35.0
5,cube,OT,0.21,0.14,24.0
5,cube,OT,0.12,0.23,32.0
5,cube,OT,0.27,0.07999998,19.0
5,cube,OT,0.18,0.17,27.0
5,cube,OT,0.33,0.01999998,13.0
5,cube,OT,0.3,0.04999998,15.0
5,cube,OT,0.24,0.11,20.0
5,cube,OT,0.21,0.14,25.0
5,cube,OT,0.27,0.07999998,18.0
5,cube,OT,0.15,0.2,31.0
5,cube,SP,0.15,0.2,30.0
5,cube,SP,0.18,0.17,27.0
5,cube,SP,0.33,0.01999998,13.0
5,cube,SP,0.12,0.23,35.0
5,cube,SP,0.3,0.04999998,15.0
5,cube,SP,0.33,0.01999998,14.0
5,cube,SP,0.18,0.17,29.0
5,cube,SP,0.27,0.07999998,20.0
5,cube,SP,0.24,0.11,23.0
5,cube,SP,0.3,0.04999998,17.0
5,cube,DP,0.12,0.23,36.0
5,cube,DP,0.33,0.01999998,15.0
5,cube,DP,0.18,0.17,28.0
5,cube,DP,0.15,0.2,32.0
5,cube,DP,0.27,0.07999998,21.0
5,cube,DP,0.18,0.17,26.0
5,cube,DP,0.21,0.14,24.0
5,cube,DP,0.33,0.01999998,13.0
5,cube,DP,0.3,0.04999998,17.0
5,cube,DP,0.24,0.11,23.0
5,hand,OV,0.27,0.07999998,20.0
5,hand,OV,0.24,0.11,27.0
5,hand,OV,0.18,0.17,26.0
5,hand,OV,0.21,0.14,24.0
5,hand,OV,0.33,0.01999998,13.0
5,hand,OV,0.24,0.11,27.0
5,hand,OV,0.27,0.07999998,16.0
5,hand,OV,0.18,0.17,26.0
5,hand,OV,0.33,0.01999998,11.0
5,hand,OV,0.15,0.2,28.0
5,hand,OT,0.12,0.23,35.0
5,hand,OT,0.18,0.17,30.0
5,hand,OT,0.27,0.07999998,22.0
5,hand,OT,0.21,0.14,28.0
5,hand,OT,0.33,0.01999998,16.0
5,hand,OT,0.12,0.23,33.0
5,hand,OT,0.24,0.11,25.0
5,hand,OT,0.33,0.01999998,17.0
5,hand,OT,0.18,0.17,33.0
5,hand,OT,0.3,0.04999998,21.0
5,hand,SP,0.24,0.11,25.0
5,hand,SP,0.12,0.23,38.0
5,hand,SP,0.15,0.2,35.0
5,hand,SP,0.18,0.17,32.0
5,hand,SP,0.33,0.01999998,16.0
5,hand,SP,0.27,0.07999998,18.0
5,hand,SP,0.24,0.11,21.0
5,hand,SP,0.15,0.2,29.0
5,hand,SP,0.12,0.23,33.0
5,hand,SP,0.21,0.14,24.0
5,hand,DP,0.3,0.04999998,20.0
5,hand,DP,0.18,0.17,33.0
5,hand,DP,0.12,0.23,40.0
5,hand,DP,0.21,0.14,32.0
5,hand,DP,0.24,0.11,28.0
5,hand,DP,0.21,0.14,27.0
5,hand,DP,0.27,0.07999998,22.0
5,hand,DP,0.3,0.04999998,20.0
5,hand,DP,0.24,0.11,26.0
5,hand,DP,0.18,0.17,33.0
6,cube,OV,0.27,0.07999998,24.0
6,cube,OV,0.15,0.2,37.0
6,cube,OV,0.12,0.23,38.0
6,cube,OV,0.18,0.17,32.0
6,cube,OV,0.24,0.11,26.0
6,cube,OV,0.12,0.23,37.0
6,cube,OV,0.21,0.14,28.0
6,cube,OV,0.33,0.01999998,15.0
6,cube,OV,0.3,0.04999998,18.0
6,cube,OV,0.18,0.17,31.0
6,cube,OT,0.18,0.17,32.0
6,cube,OT,0.15,0.2,34.0
6,cube,OT,0.12,0.23,37.0
6,cube,OT,0.24,0.11,26.0
6,cube,OT,0.27,0.07999998,24.0
6,cube,OT,0.3,0.04999998,20.0
6,cube,OT,0.33,0.01999998,16.0
6,cube,OT,0.27,0.07999998,22.0
6,cube,OT,0.12,0.23,36.0
